ID,owner_ID,birthDate,name,description,type_ID
17506597-7567-40f9-8e92-e847d16b2183,21675255-3f57-4491-bf1f-fcbb6aaaf8d1,2023-09-03,name-17506597,description-17506597,10137955-b40a-459c-9c35-bc7aabe4e1c8
17506598-30a1-45d8-9d90-b2d08127755c,21675255-3f57-4491-bf1f-fcbb6aaaf8d1,2007-03-20,name-17506598,description-17506598,10137955-b40a-459c-9c35-bc7aabe4e1c8
17506599-b303-4f89-bcec-943cdd480fca,21675255-3f57-4491-bf1f-fcbb6aaaf8d1,2022-03-08,name-17506599,description-17506599,10137955-b40a-459c-9c35-bc7aabe4e1c8
17506600-8b75-4fb3-aad3-91a9704db50c,21675255-3f57-4491-bf1f-fcbb6aaaf8d1,2020-11-07,name-17506600,description-17506600,10137955-b40a-459c-9c35-bc7aabe4e1c8
17506601-5f62-41ce-90c2-35ddbae908d1,21675255-3f57-4491-bf1f-fcbb6aaaf8d1,2022-09-16,name-17506601,description-17506601,10137955-b40a-459c-9c35-bc7aabe4e1c8
17506602-b90e-463b-8d43-6c3f21d5bb12,21675255-3f57-4491-bf1f-fcbb6aaaf8d1,2001-07-03,name-17506602,description-17506602,10137955-b40a-459c-9c35-bc7aabe4e1c8
17506603-495c-4bc4-ab6c-1faa694d3b93,21675255-3f57-4491-bf1f-fcbb6aaaf8d1,2021-10-04,name-17506603,description-17506603,10137955-b40a-459c-9c35-bc7aabe4e1c8
17506604-5358-45e0-93fd-83dea202634c,21675255-3f57-4491-bf1f-fcbb6aaaf8d1,2018-05-04,name-17506604,description-17506604,10137955-b40a-459c-9c35-bc7aabe4e1c8
17506605-b765-4c58-be40-986aa3a9ba39,21675255-3f57-4491-bf1f-fcbb6aaaf8d1,2011-09-05,name-17506605,description-17506605,10137955-b40a-459c-9c35-bc7aabe4e1c8
17506606-e16a-4123-b8eb-dbddbf27f3b1,21675255-3f57-4491-bf1f-fcbb6aaaf8d1,2018-05-14,name-17506606,description-17506606,10137955-b40a-459c-9c35-bc7aabe4e1c8
17506607-d01a-4b89-95e9-740bf31e9102,21675255-3f57-4491-bf1f-fcbb6aaaf8d1,2005-03-11,name-17506607,description-17506607,10137955-b40a-459c-9c35-bc7aabe4e1c8
17506608-8586-424f-8faf-b96702931558,21675255-3f57-4491-bf1f-fcbb6aaaf8d1,2012-12-02,name-17506608,description-17506608,10137955-b40a-459c-9c35-bc7aabe4e1c8
17506609-73b6-41d2-88f9-da096205da14,21675255-3f57-4491-bf1f-fcbb6aaaf8d1,2016-05-09,name-17506609,description-17506609,10137955-b40a-459c-9c35-bc7aabe4e1c8
17506610-04ec-4099-8dee-a39b3e08fdc6,21675255-3f57-4491-bf1f-fcbb6aaaf8d1,2015-12-20,name-17506610,description-17506610,10137955-b40a-459c-9c35-bc7aabe4e1c8
17506611-64f2-4960-a8ec-800ebf14c6c1,21675255-3f57-4491-bf1f-fcbb6aaaf8d1,2020-02-25,name-17506611,description-17506611,10137955-b40a-459c-9c35-bc7aabe4e1c8
17506612-2f9e-472c-9c32-678412cda77e,21675255-3f57-4491-bf1f-fcbb6aaaf8d1,2022-12-02,name-17506612,description-17506612,10137955-b40a-459c-9c35-bc7aabe4e1c8
17506613-15b0-4562-b9df-9f53db23f101,21675255-3f57-4491-bf1f-fcbb6aaaf8d1,2010-10-12,name-17506613,description-17506613,10137955-b40a-459c-9c35-bc7aabe4e1c8
17506614-85f9-45f7-b83f-b621c8cd9d81,21675255-3f57-4491-bf1f-fcbb6aaaf8d1,2023-02-28,name-17506614,description-17506614,10137955-b40a-459c-9c35-bc7aabe4e1c8
17506615-5fde-49f9-aa51-1896bbc33cc6,21675255-3f57-4491-bf1f-fcbb6aaaf8d1,2005-02-07,name-17506615,description-17506615,10137955-b40a-459c-9c35-bc7aabe4e1c8
17506616-873d-4844-a3b6-f3c3ab0076de,21675255-3f57-4491-bf1f-fcbb6aaaf8d1,2019-05-03,name-17506616,description-17506616,10137955-b40a-459c-9c35-bc7aabe4e1c8
17506617-71d0-428e-85e8-13e7d020e375,21675255-3f57-4491-bf1f-fcbb6aaaf8d1,2002-01-20,name-17506617,description-17506617,10137955-b40a-459c-9c35-bc7aabe4e1c8
17506618-1f10-444e-a394-234b565a2671,21675255-3f57-4491-bf1f-fcbb6aaaf8d1,2007-10-01,name-17506618,description-17506618,10137955-b40a-459c-9c35-bc7aabe4e1c8
17506619-cbfa-41d6-b084-27b561f0bbea,21675255-3f57-4491-bf1f-fcbb6aaaf8d1,2020-11-20,name-17506619,description-17506619,10137955-b40a-459c-9c35-bc7aabe4e1c8
17506620-8176-441a-b9e7-fa8e3c186006,21675255-3f57-4491-bf1f-fcbb6aaaf8d1,2020-11-20,name-17506620,description-17506620,10137955-b40a-459c-9c35-bc7aabe4e1c8
17506621-cd83-4a46-a4eb-8beb917d7320,21675255-3f57-4491-bf1f-fcbb6aaaf8d1,2023-09-02,name-17506621,description-17506621,10137955-b40a-459c-9c35-bc7aabe4e1c8
17506622-2923-48be-b191-fd64e0478ca7,21675255-3f57-4491-bf1f-fcbb6aaaf8d1,2010-03-05,name-17506622,description-17506622,10137955-b40a-459c-9c35-bc7aabe4e1c8
